burmese_word,word_count,first_consonant,frequency_rank,is_auto_generated
င်,176,င,1,True
က်,142,က,2,True
ယ်,108,ယ,3,True
ကြ,83,က,4,True
န်,81,န,5,True
င်း,86,င,6,True
စ်,65,စ,7,True
တ်,54,တ,8,True
လာ,53,လ,9,True
လဲ,45,လ,10,True
ပြ,38,ပ,11,True
ကြေ,44,က,12,True
ချ,42,ခ,13,True
ကြော,43,က,14,True
လား,42,လ,15,True
ကြော်,41,က,16,True
ပါ,37,ပ,17,True
ဘူ,39,ဘ,18,True
ည်,36,ည,19,True
ဘူး,38,ဘ,20,True
သီ,37,သ,21,True
နှ,35,န,22,True
သေ,34,သ,23,True
တယ,35,တ,24,True
တယ်,35,တ,25,True
သီး,31,သ,26,True
ဘယ,31,ဘ,27,True
ဘယ်,31,ဘ,28,True
လိ,30,လ,29,True
လေ,29,လ,30,True
နေ,25,န,31,True
နှစ,25,န,32,True
ဆယ,27,ဆ,33,True
ဆယ်,27,ဆ,34,True
ရေ,26,ရ,35,True
န်း,25,န,36,True
ပ်,26,ပ,37,True
က်သ,26,က,38,True
လို,26,လ,39,True
နှစ်,24,န,40,True
သာ,25,သ,41,True
ရှ,25,ရ,42,True
ကေ,23,က,43,True
ကော,23,က,44,True
ငါ,24,င,45,True
ကိ,22,က,46,True
မလ,24,မ,47,True
ရည,24,ရ,48,True
ရည်,24,ရ,49,True
ရာ,23,ရ,50,True
ကို,21,က,51,True
တေ,22,တ,52,True
တော,21,တ,53,True
ပြီ,18,ပ,54,True
မ်,21,မ,55,True
ပေ,21,ပ,56,True
မု,21,မ,57,True
သွ,21,သ,58,True
စာ,20,စ,59,True
သား,20,သ,60,True
မုန,20,မ,61,True
မုန်,20,မ,62,True
ကြက,20,က,63,True
ကြက်,20,က,64,True
ငါး,20,င,65,True
ချင,19,ခ,66,True
ချင်,19,ခ,67,True
ယ့်,19,ယ,68,True
ဆယ့်,19,ဆ,69,True
ဘာ,18,ဘ,70,True
ဟင,18,ဟ,71,True
ဟင်,18,ဟ,72,True
ဟင်း,18,ဟ,73,True
သေး,17,သ,74,True
သု,17,သ,75,True
ပေါ,17,ပ,76,True
န့်,17,န,77,True
သွာ,17,သ,78,True
တစ,17,တ,79,True
မ်း,16,မ,80,True
ခြ,16,ခ,81,True
သော,16,သ,82,True
မုန့်,16,မ,83,True
မှ,15,မ,84,True
သွား,16,သ,85,True
ခု,14,ခ,86,True
တစ်,16,တ,87,True
သေးဘ,16,သ,88,True
သေးဘူ,16,သ,89,True
ထေ,15,ထ,90,True
ထော,15,ထ,91,True
ဟု,14,ဟ,92,True
ဟုတ,14,ဟ,93,True
မျ,14,မ,94,True
ရော,14,ရ,95,True
စား,14,စ,96,True
လက,14,လ,97,True
ကောင,14,က,98,True
ကောင်,14,က,99,True
မင,13,မ,100,True
မင်,13,မ,101,True
ခြေ,13,ခ,102,True
ပဲ,12,ပ,103,True
ယ်။,13,ယ,104,True
လော,13,လ,105,True
လောက,13,လ,106,True
လောက်,13,လ,107,True
က်က,13,က,108,True
ဖျ,13,ဖ,109,True
ဖျေ,13,ဖ,110,True
ဖျော,13,ဖ,111,True
ဖျော်,13,ဖ,112,True
စ်ဆ,13,စ,113,True
စ်ဆယ,13,စ,114,True
စ်ဆယ်,13,စ,115,True
မင်း,12,မ,116,True
က်သာ,12,က,117,True
က်သား,12,က,118,True
ဘေ,10,ဘ,119,True
တယ်။,12,တ,120,True
ယ်လ,12,ယ,121,True
က်လ,12,က,122,True
ပါတ,12,ပ,123,True
လု,12,လ,124,True
ဟုတ်,11,ဟ,125,True
ဝက,11,ဝ,126,True
